track_id,search_type,team_id,source_row,delta_seconds,distance_m,speed_mps,grade,quality_flag
hasty_T01_S01,hasty,1,73,7.0,7.313323062027086,1.0447604374324408,0.0,CANDIDATE
hasty_T01_S01,hasty,1,74,9.0,10.374165076329563,1.1526850084810625,0.0,CANDIDATE
hasty_T01_S01,hasty,1,75,3.0,3.656507625699922,1.2188358752333073,0.0,CANDIDATE
hasty_T01_S01,hasty,1,76,3.0,2.6511184221281936,0.8837061407093979,0.0,CANDIDATE
hasty_T01_S01,hasty,1,77,16.0,7.158100714225303,0.44738129463908144,0.0,CANDIDATE
hasty_T01_S01,hasty,1,78,22.0,8.532566387845469,0.3878439267202486,0.0,CANDIDATE
hasty_T01_S01,hasty,1,79,14.0,7.719033649052682,0.5513595463609059,0.0,CANDIDATE
hasty_T01_S01,hasty,1,80,17.0,13.797511848212013,0.8116183440124713,0.0,CANDIDATE
hasty_T01_S01,hasty,1,81,14.0,12.887440500869259,0.9205314643478042,-0.07759492662119759,CANDIDATE
hasty_T01_S01,hasty,1,82,12.0,3.061604252469305,0.25513368770577544,0.0,CANDIDATE
hasty_T01_S01,hasty,1,83,19.0,9.116130582366111,0.47979634644032165,0.0,CANDIDATE
hasty_T01_S01,hasty,1,84,14.0,5.836955238538767,0.4169253741813405,0.0,CANDIDATE
hasty_T01_S01,hasty,1,85,17.0,10.32881680656924,0.6075774592099553,0.0,CANDIDATE
hasty_T01_S01,hasty,1,86,20.0,6.87333692500424,0.34366684625021204,0.0,CANDIDATE
hasty_T01_S01,hasty,1,87,3.0,0.15993411002302757,0.05331137000767586,0.0,CANDIDATE
hasty_T01_S01,hasty,1,88,12.0,4.056501734840944,0.3380418112367453,0.0,CANDIDATE
hasty_T01_S01,hasty,1,89,16.0,10.62162637251295,0.6638516482820593,0.0,CANDIDATE
hasty_T01_S01,hasty,1,90,14.0,7.840921890889434,0.5600658493492453,-0.1275360236864399,CANDIDATE
hasty_T01_S01,hasty,1,91,17.0,15.84480231223684,0.9320471948374612,-0.06311217901580926,CANDIDATE
hasty_T01_S01,hasty,1,92,9.0,6.644463199441013,0.7382736888267792,-0.15050124742720047,CANDIDATE
hasty_T01_S01,hasty,1,93,3.0,3.3031469467465673,1.1010489822488558,0.0,CANDIDATE
hasty_T01_S01,hasty,1,94,4.0,4.767274897706772,1.191818724426693,0.0,CANDIDATE
hasty_T01_S01,hasty,1,95,22.0,21.521294148768288,0.9782406431258313,0.0,CANDIDATE
hasty_T01_S01,hasty,1,96,15.0,14.753352905043881,0.9835568603362588,0.0,CANDIDATE
hasty_T01_S01,hasty,1,97,10.0,4.782681971321192,0.47826819713211915,0.0,CANDIDATE
hasty_T01_S01,hasty,1,98,4.0,2.882296990934285,0.7205742477335713,0.0,CANDIDATE
hasty_T01_S01,hasty,1,99,13.0,7.057815979742272,0.5429089215186363,0.14168689051545896,CANDIDATE
hasty_T01_S01,hasty,1,100,18.0,2.49580808268324,0.13865600459351335,0.0,CANDIDATE
hasty_T01_S01,hasty,1,101,15.0,4.094610220123663,0.27297401467491084,0.0,CANDIDATE
hasty_T01_S01,hasty,1,102,2.0,0.8093470217550582,0.4046735108775291,0.0,CANDIDATE
hasty_T01_S01,hasty,1,103,4.0,4.90372247747925,1.2259306193698125,0.0,CANDIDATE
hasty_T01_S01,hasty,1,104,6.0,7.9300557052100755,1.321675950868346,0.0,CANDIDATE
hasty_T01_S01,hasty,1,105,16.0,3.5740919026436795,0.22338074391522997,-0.5595827008591029,CANDIDATE
hasty_T01_S01,hasty,1,106,11.0,6.250362816203399,0.5682148014730363,0.1599907124443411,CANDIDATE
hasty_T01_S01,hasty,1,107,4.0,4.537071478538926,1.1342678696347315,0.22040649011816543,CANDIDATE
hasty_T01_S01,hasty,1,108,17.0,6.907743536258774,0.4063378550740455,0.0,CANDIDATE
hasty_T01_S01,hasty,1,109,21.0,9.371167158383233,0.4462460551611064,0.0,CANDIDATE
hasty_T01_S01,hasty,1,110,16.0,2.3942505648257963,0.14964066030161227,-0.41766722944169343,CANDIDATE
